epoch,train_db_s1413_rmse,train_db_s1413_mae,train_db_s1413_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,2.7396047,1.873113,0.11313204,1.8428764,1.369083,0.27576977,1.7945914,1.3490587,0.2843177
2,1.4938812,1.025433,0.628421,1.7490845,1.2790034,0.32097462,1.7509643,1.3146281,0.27613565
3,1.2556983,0.8253271,0.7552296,1.7634662,1.3094182,0.30429444,1.7845918,1.3397744,0.28523037
4,1.0767422,0.72435445,0.825177,1.7332271,1.2794794,0.35011694,1.7855504,1.3319873,0.28992212
5,0.92154205,0.6324473,0.87853724,1.7572434,1.2862611,0.3336657,1.7647727,1.3045478,0.2932057
6,0.81353384,0.53547084,0.9053865,1.7764268,1.2985275,0.3274375,1.7643303,1.3089051,0.30813295
7,0.7511022,0.49623582,0.9183404,1.7653402,1.2928505,0.34367186,1.7724108,1.3090148,0.28766522
8,0.66144204,0.44674164,0.9376779,1.7490783,1.2743953,0.34159642,1.7159218,1.2819095,0.32868218
9,0.60475504,0.40419897,0.9476775,1.7715852,1.2901083,0.3436,1.8006458,1.3405178,0.2716436
10,0.5156002,0.3522221,0.9618091,1.79271,1.309166,0.30661786,1.7837788,1.3347564,0.2770079
11,0.5238565,0.3464415,0.9614143,1.7886201,1.3159418,0.32204783,1.8739445,1.3965968,0.22687474
12,0.5577252,0.34119946,0.95664054,1.7403947,1.270665,0.33491376,1.7780993,1.3278512,0.25285783
13,0.49546212,0.31384587,0.9648897,1.7661588,1.2964766,0.34564966,1.8038338,1.3500448,0.27411935
14,0.44379485,0.29588178,0.97218686,1.7660903,1.2901591,0.33934498,1.7297838,1.2738966,0.30673066
15,0.4054399,0.28067195,0.9767397,1.7666981,1.2880839,0.33306837,1.7459875,1.292319,0.32464102
16,0.43542016,0.28777936,0.97407955,1.7686026,1.2960986,0.33864045,1.723961,1.2713325,0.31570566
17,0.43005022,0.27432868,0.9740934,1.7494648,1.2816975,0.34711012,1.7365909,1.2947369,0.2954329
