epoch,train_db_s1413_rmse,train_db_s1413_mae,train_db_s1413_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,1.8821603,1.276812,0.28402916,1.4448696,1.0417708,0.47625366,1.4966105,1.069057,0.42535406
2,1.5402524,0.9840951,0.5932468,1.4649519,1.059277,0.46195778,1.4810286,1.0599192,0.4383554
3,1.3064274,0.8062223,0.7331849,1.4858822,1.1076329,0.42237958,1.4699616,1.0528181,0.45444974
4,1.0904291,0.662802,0.82177466,1.4314946,1.0532771,0.46417615,1.4412278,1.0265908,0.4761327
5,0.9338295,0.57249665,0.8762346,1.4391456,1.084357,0.46238017,1.4816469,1.0577894,0.45401755
6,0.8192668,0.51748395,0.9038176,1.4300566,1.01921,0.47900477,1.4680498,1.0519128,0.45014098
7,0.77376044,0.4734201,0.9128792,1.4433843,1.0425049,0.4624974,1.5172529,1.0955077,0.43150663
8,0.6355419,0.40353742,0.94144285,1.4270889,1.0128552,0.47709465,1.4913348,1.0693446,0.44718802
9,0.69292307,0.4117241,0.9297938,1.4200878,1.0153643,0.4835869,1.4793689,1.0631459,0.4478094
10,0.63384205,0.36315295,0.94301,1.4245863,1.007264,0.48131323,1.4737384,1.0523444,0.4530058
11,0.5322303,0.31978503,0.9602738,1.4383771,1.029929,0.47640327,1.4659729,1.0452024,0.45462725
12,0.49965388,0.30459872,0.9653426,1.4331857,1.0271094,0.4810638,1.456878,1.0310936,0.4621841
13,0.4818093,0.28944346,0.96660584,1.4296471,1.018598,0.46075347,1.4809235,1.0432037,0.43524677
14,0.46820349,0.29200011,0.9691494,1.44982,1.0121068,0.4609624,1.4799242,1.0470994,0.43786937
15,0.433751,0.26913843,0.97343445,1.4614844,1.0426501,0.4502352,1.4883772,1.0558311,0.4398846
16,0.43768537,0.2595702,0.9735304,1.4051087,0.9968271,0.50049406,1.45972,1.044573,0.4575769
17,0.42932194,0.25678277,0.9738982,1.4346939,1.0304137,0.47433475,1.4797435,1.0633607,0.44009998
18,0.42089003,0.25428486,0.9751366,1.4332755,1.0260272,0.48469606,1.4749849,1.0375503,0.44337612
19,0.4161352,0.25429803,0.97591007,1.4300064,1.0290011,0.46865547,1.4944943,1.0621096,0.43469068
20,0.39625004,0.23196332,0.977507,1.4082835,1.0096041,0.48935038,1.4780136,1.0482888,0.4406285
