epoch,train_tb_s1465_rmse,train_tb_s1465_mae,train_tb_s1465_corr,val_tb_ssym_rmse,val_tb_ssym_mae,val_tb_ssym_corr,test_tb_s669_rmse,test_tb_s669_mae,test_tb_s669_corr
1,1.8639466,1.3101665,0.23291552,1.5664773,1.1116543,0.36636212,1.5957863,1.159938,0.32126203
2,1.6553836,1.162004,0.40113524,1.4863228,1.0520138,0.40684813,1.5553095,1.1210238,0.3539025
3,1.6261191,1.1223407,0.43407473,1.4828743,1.0553459,0.43141437,1.5440047,1.105675,0.3760929
4,1.615101,1.0921715,0.4645136,1.4826996,1.0654655,0.44598904,1.5472479,1.1087817,0.38454717
5,1.5730582,1.074955,0.49732596,1.4653703,1.0509315,0.45764226,1.5370299,1.0982407,0.3912296
6,1.5514792,1.0413718,0.516594,1.4548227,1.03795,0.46057275,1.5327048,1.0933088,0.3911818
7,1.5458816,1.0444956,0.51574856,1.4463983,1.0263882,0.46213225,1.5305923,1.0945337,0.39104646
8,1.5341871,1.0260402,0.52958375,1.4396099,1.0234814,0.46868035,1.5295192,1.095686,0.39392194
9,1.5235296,1.0176003,0.5367364,1.4480507,1.0358759,0.46782073,1.5255035,1.090645,0.40147108
10,1.5128909,1.0027167,0.5482334,1.4495329,1.0366052,0.46522036,1.5240734,1.0903226,0.40396154
11,1.5245506,1.0119745,0.54354024,1.4422449,1.0260265,0.46453595,1.5208836,1.0867072,0.40265772
12,1.4920723,0.9963742,0.56757885,1.4448421,1.0300936,0.46527797,1.523807,1.0904319,0.39830276
13,1.4847581,0.97742206,0.5728786,1.4529564,1.0386596,0.46198508,1.5296557,1.0966339,0.39538047
14,1.4793833,0.9895636,0.5746652,1.4451559,1.0237019,0.4587467,1.5290555,1.0974602,0.39664277
15,1.4670974,0.96880955,0.5827362,1.4436466,1.0191116,0.45417958,1.5283432,1.0968469,0.39536884
16,1.4967813,0.9979975,0.5618929,1.4438878,1.0287107,0.46617898,1.5338626,1.1026313,0.39162356
17,1.4778087,0.98390645,0.5785008,1.4364381,1.0222625,0.47191712,1.5304922,1.1001791,0.39203337
18,1.4337007,0.94791436,0.6127051,1.4283923,1.0181801,0.47723836,1.5312726,1.1030823,0.38927928
19,1.4721525,0.97364444,0.57925767,1.4165722,1.012272,0.4842183,1.5288104,1.1017661,0.39308542
20,1.4630442,0.96696836,0.5976651,1.4324368,1.0279686,0.47719246,1.5274374,1.1008947,0.39991492
