epoch,train_tb_s1465_rmse,train_tb_s1465_mae,train_tb_s1465_corr,val_tb_ssym_rmse,val_tb_ssym_mae,val_tb_ssym_corr,test_tb_s669_rmse,test_tb_s669_mae,test_tb_s669_corr
1,2.0386858,1.4719362,-0.010362246,1.8651255,1.3588744,0.061923217,1.8924284,1.4182925,0.04862769
2,2.0102456,1.4451672,0.080993906,1.8503393,1.3470465,0.1618069,1.8747106,1.4021854,0.12885565
3,1.993295,1.430683,0.12500976,1.835868,1.335426,0.22757317,1.8573816,1.3862343,0.18612611
4,1.9770762,1.4064637,0.20499922,1.8211963,1.3237573,0.27083278,1.8399209,1.3699187,0.22735864
5,1.9406252,1.3836148,0.29005018,1.8056154,1.311464,0.3001775,1.8215445,1.3526309,0.2569439
6,1.9188832,1.3589226,0.33143222,1.7892473,1.2983937,0.31989545,1.8025837,1.3348651,0.2782069
7,1.8907529,1.3353398,0.35539308,1.7719868,1.2843953,0.33386886,1.7825283,1.3163874,0.2952645
8,1.863813,1.3079455,0.4103524,1.7524217,1.267943,0.3462535,1.7604884,1.2964531,0.3088731
9,1.836759,1.2815304,0.39791328,1.7299429,1.2489347,0.35763198,1.7358247,1.2750071,0.3207378
10,1.7870321,1.2398298,0.44146198,1.7059183,1.228034,0.36764768,1.7098544,1.2516042,0.33093694
11,1.7647965,1.2110599,0.4580214,1.6801765,1.2049888,0.37625396,1.6825025,1.2267518,0.34014204
12,1.7116268,1.1712918,0.49114707,1.6541076,1.1806821,0.38464025,1.6558523,1.2022672,0.34869045
13,1.6501056,1.1173323,0.52580035,1.625571,1.1542039,0.39241496,1.6281583,1.175283,0.356705
14,1.5953156,1.0681679,0.5437932,1.5966972,1.1316965,0.4013178,1.6033839,1.1491253,0.36401793
15,1.5543009,1.0298915,0.5491663,1.5741478,1.1154299,0.40838945,1.5853901,1.1299367,0.3704281
16,1.5185615,0.99714804,0.564366,1.5565392,1.1023539,0.41439486,1.5724999,1.1165264,0.37644625
17,1.471424,0.96123415,0.59281737,1.5436041,1.0923518,0.42065114,1.5650792,1.1095157,0.38071135
18,1.4334182,0.9198763,0.6175964,1.534163,1.0849665,0.42611733,1.5598152,1.1051712,0.38469127
19,1.4226543,0.8960272,0.62053007,1.5279378,1.080838,0.4316583,1.5569204,1.1033688,0.3879851
20,1.3818868,0.85947865,0.6554689,1.5246415,1.0793153,0.43551525,1.5554343,1.1025048,0.39012212
