epoch,train_db_s1465_s_rmse,train_db_s1465_s_mae,train_db_s1465_s_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,1.7776728,1.2262151,0.5252142,1.4321089,1.068953,0.5145746,1.4966248,1.0645953,0.44627345
2,1.4610604,0.9507507,0.7136863,1.3467604,0.98982674,0.58807164,1.4506009,1.0173124,0.48841354
3,1.2647177,0.8002981,0.7958004,1.3576164,1.0052661,0.58433956,1.4774303,1.034656,0.48715466
4,1.1268651,0.6982665,0.84216136,1.3413144,0.98676366,0.6041308,1.452926,1.001892,0.49804613
5,0.99415445,0.6154331,0.87965125,1.3256932,0.98650146,0.60274947,1.4830573,1.0304704,0.4904007
6,0.9093889,0.5506443,0.90060467,1.3505504,1.0152769,0.6017536,1.460844,1.013453,0.4950791
7,0.84345645,0.5096435,0.9149749,1.3810399,1.0403728,0.59247303,1.4821754,1.0398854,0.4644716
8,0.80213076,0.48172167,0.923452,1.3100847,0.9935234,0.6091006,1.5024889,1.0385009,0.47410917
9,0.7378686,0.44661006,0.93541676,1.3373783,0.99901676,0.6073834,1.4821689,1.0303003,0.4747428
10,0.6618811,0.40282303,0.94858307,1.364357,1.0243547,0.59894437,1.4541897,1.0113813,0.4877133
