epoch,train_db_s155329_rmse,train_db_s155329_mae,train_db_s155329_corr,val_db_s1030_rmse,val_db_s1030_mae,val_db_s1030_corr,test_db_ssym_rmse,test_db_s669_rmse,test_db_s669_-4_2_rmse,test_db_ssym_mae,test_db_s669_mae,test_db_s669_-4_2_mae,test_db_ssym_corr,test_db_s669_corr,test_db_s669_-4_2_corr
1,1.0419755,0.72710896,0.4323641,1.9421833,1.3264999,0.39098915,1.5354524,1.5464542,1.1709176,1.0988839,1.1218044,0.91545427,0.4213074,0.4408219,0.48913708
2,0.8653624,0.6130509,0.6077239,1.908455,1.2956029,0.41155514,1.4994202,1.5012852,1.1318059,1.0759726,1.0739185,0.873987,0.48873994,0.4764408,0.5196323
3,0.8292628,0.58500415,0.64194757,1.9039087,1.2912015,0.4176212,1.4983107,1.4905515,1.1259755,1.0716618,1.0603882,0.86372864,0.5238914,0.49094415,0.5310496
4,0.8123395,0.5714468,0.6592248,1.9033023,1.2903097,0.4194643,1.4989717,1.4871724,1.1252942,1.0705628,1.0548129,0.8599103,0.5409199,0.4960303,0.53449
5,0.8006586,0.5622336,0.6702608,1.9016683,1.2881439,0.4206491,1.4957535,1.4827616,1.1222328,1.0685529,1.0496523,0.85569745,0.5513245,0.49997073,0.5371662
6,0.7917164,0.5549954,0.67891467,1.9009027,1.2872777,0.42211002,1.4944634,1.4810534,1.1218704,1.0679601,1.0467138,0.8534045,0.5593399,0.50206,0.5378855
7,0.7837368,0.5490327,0.68608403,1.9011135,1.2875338,0.42282498,1.4949516,1.4800541,1.1223686,1.0692121,1.045623,0.85287064,0.5654938,0.5043254,0.5385597
8,0.77787435,0.5444555,0.6919095,1.8982928,1.2843875,0.4237219,1.4877234,1.476949,1.1198177,1.0644509,1.0427428,0.8505972,0.56972915,0.5044741,0.5377666
9,0.77218586,0.54010826,0.6968169,1.9014752,1.2876852,0.42291784,1.491704,1.4783919,1.12198,1.0685891,1.0439435,0.8517068,0.57219976,0.5068944,0.5394124
10,0.7675531,0.536559,0.7012107,1.8985846,1.2849234,0.42500025,1.4865319,1.4763855,1.1209006,1.0643948,1.0416992,0.85001326,0.57739466,0.5067615,0.538073
11,0.76325834,0.5331999,0.7050417,1.8955814,1.2812102,0.42570758,1.4796289,1.4739575,1.1182477,1.0595958,1.0392113,0.8476712,0.5786398,0.50580525,0.53716695
12,0.7589229,0.52960086,0.70886695,1.8943224,1.2797545,0.42554355,1.4762496,1.4717121,1.1161029,1.0578142,1.0366906,0.8454336,0.5782813,0.5064319,0.53769636
13,0.7556391,0.52712154,0.7115632,1.8969731,1.2822297,0.42422074,1.4782406,1.4737602,1.1187688,1.0595354,1.0390252,0.84767216,0.58025646,0.50653857,0.53680605
14,0.75166273,0.52407616,0.7152476,1.8966908,1.2820902,0.42523336,1.477443,1.4745071,1.1195588,1.0596868,1.0397676,0.8484211,0.5816531,0.5061966,0.5364402
15,0.74801666,0.5213277,0.71842813,1.8926634,1.2780122,0.42635947,1.4709085,1.4715906,1.1171182,1.0547727,1.0367221,0.8457407,0.5821158,0.50535387,0.53514975
16,0.74573576,0.51924187,0.720398,1.8942233,1.2790717,0.42546016,1.472412,1.4718246,1.1175681,1.0567085,1.0373172,0.8462348,0.5819354,0.50624514,0.5353505
17,0.7426002,0.51694703,0.7231468,1.8922232,1.277044,0.42642596,1.469306,1.470328,1.1159561,1.053908,1.0351452,0.8441717,0.58374226,0.5061501,0.5355935
18,0.73996437,0.51452976,0.7254312,1.8897175,1.2746594,0.42756385,1.464537,1.4687636,1.114898,1.0500814,1.0342654,0.84372175,0.58228767,0.5058538,0.53464293
19,0.7368778,0.5121634,0.7280617,1.8898832,1.2740514,0.42719218,1.4633179,1.4686916,1.114367,1.0499498,1.0338243,0.84286225,0.583946,0.505657,0.5345879
20,0.73448926,0.5104127,0.7300084,1.88949,1.2734349,0.4263371,1.4620737,1.4678174,1.1132941,1.0494044,1.0328597,0.84193504,0.58375776,0.5051237,0.53440017
