epoch,train_db_s155329_rmse,train_db_s155329_mae,train_db_s155329_corr,val_db_s1030_rmse,val_db_s1030_mae,val_db_s1030_corr,test_db_ssym_rmse,test_db_s669_rmse,test_db_s669_-4_2_rmse,test_db_ssym_mae,test_db_s669_mae,test_db_s669_-4_2_mae,test_db_ssym_corr,test_db_s669_corr,test_db_s669_-4_2_corr
1,0.99969214,0.7351796,0.426124,1.8335028,1.2664591,0.47834328,1.3994107,1.4800912,1.1052432,1.0115213,1.0609301,0.8636201,0.55439603,0.46886626,0.52137965
2,0.87115884,0.64689857,0.5878165,1.8170292,1.2450413,0.4843941,1.3543292,1.4534688,1.0862925,0.9766464,1.03625,0.84276974,0.60034484,0.5029937,0.5498159
3,0.8515785,0.6310611,0.6115896,1.8139397,1.2388673,0.48382828,1.3367833,1.447732,1.0850184,0.96086645,1.0294359,0.8376891,0.62190986,0.5127814,0.55582947
4,0.83630866,0.6178316,0.6287908,1.8153977,1.2381599,0.48160455,1.3281324,1.4486501,1.0878705,0.95283836,1.0306319,0.8389312,0.63368475,0.5174512,0.55978614
5,0.826111,0.61013037,0.6397088,1.8121705,1.2326117,0.4822952,1.3165952,1.4439275,1.0832757,0.94362026,1.0249927,0.8338915,0.64208823,0.5195298,0.5605617
6,0.8204637,0.60447717,0.64581287,1.8148355,1.2338085,0.47989863,1.3131131,1.4451851,1.0869173,0.9387233,1.0266913,0.8356563,0.648174,0.5223555,0.5615814
7,0.81474185,0.5999504,0.6516576,1.81216,1.2297564,0.48068827,1.3059838,1.4426699,1.085453,0.93298674,1.0229381,0.8322092,0.6521686,0.5231846,0.56053674
8,0.8089322,0.5951723,0.6573678,1.8135339,1.2299607,0.47978023,1.30624,1.4447927,1.0882769,0.9327865,1.0262765,0.8354351,0.6559011,0.5241146,0.5613738
9,0.80502737,0.59189916,0.66119844,1.8115069,1.2270234,0.48017234,1.2992083,1.441567,1.0854691,0.9260435,1.0224395,0.8320185,0.6598855,0.5260388,0.5625347
10,0.80327743,0.5898177,0.66312414,1.8137053,1.2284895,0.4786741,1.2995021,1.4463484,1.0908432,0.9265535,1.0278959,0.8369424,0.6618942,0.5240312,0.56015456
11,0.79847026,0.58643514,0.6676923,1.809582,1.2240306,0.4799809,1.2909038,1.4421648,1.0867913,0.91987354,1.0230516,0.83269167,0.664392,0.52278525,0.55783004
12,0.7960464,0.58348876,0.6701027,1.811616,1.2259035,0.47768462,1.2939382,1.443843,1.0903953,0.92096204,1.0250267,0.83487976,0.6634231,0.5241718,0.5581745
13,0.7937219,0.5816643,0.6724948,1.8130223,1.2260624,0.47729823,1.2947828,1.4462229,1.092028,0.9218449,1.0268048,0.8359839,0.66282547,0.5227071,0.5566706
14,0.79176646,0.5798414,0.6743134,1.8122007,1.2253528,0.4787477,1.2953686,1.4477233,1.0947243,0.9220578,1.0292445,0.8388692,0.6653561,0.52309096,0.556266
15,0.78853804,0.57749546,0.6773756,1.8104049,1.2238718,0.4792613,1.2922629,1.4471567,1.0950605,0.92011714,1.0279212,0.8377551,0.66732115,0.5222101,0.5544998
16,0.7861247,0.57453936,0.67989945,1.8082027,1.2208128,0.47900406,1.2861091,1.4447582,1.0909386,0.9164009,1.0234841,0.8331299,0.66857356,0.520009,0.55398315
17,0.7847097,0.5737219,0.6811457,1.8080289,1.2200656,0.47991678,1.2892159,1.4450362,1.0923498,0.9175628,1.0242671,0.83394206,0.66715336,0.52178484,0.5542943
18,0.78329545,0.572464,0.68235624,1.8064077,1.2190561,0.48041433,1.2834553,1.4430233,1.091389,0.91343546,1.0231618,0.8334614,0.6703109,0.5225046,0.55376875
19,0.78170705,0.5707733,0.68390137,1.8074983,1.2208308,0.47984657,1.2861241,1.4464866,1.0949332,0.9160567,1.026648,0.8366071,0.6693436,0.52022904,0.55177736
20,0.7809804,0.57060933,0.6847502,1.8047318,1.2179819,0.48127943,1.2830597,1.4444803,1.0919077,0.9126465,1.0231456,0.8329357,0.66982305,0.5195065,0.55159885
