epoch,rmse,mae,corr
1,0.7011900544166565,0.4978336989879608,0.7596703767776489
2,0.5296137928962708,0.3795931935310364,0.868977963924408
3,0.47566843032836914,0.3397141695022583,0.895632803440094
4,0.44108495116233826,0.31452104449272156,0.9109262824058533
5,0.41704732179641724,0.2962769865989685,0.9207664728164673
6,0.3995376527309418,0.2826860845088959,0.9275286197662354
7,0.38302695751190186,0.270673006772995,0.9335922598838806
8,0.3718932271003723,0.26186174154281616,0.9375114440917969
9,0.35841086506843567,0.2524368464946747,0.9421027898788452
10,0.3495081067085266,0.24599336087703705,0.9450252056121826
11,0.34046080708503723,0.2392406463623047,0.9479033350944519
