epoch,train_db_s3648_rmse,train_db_s3648_mae,train_db_s3648_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,1.4970454,1.0064933,0.27297586,1.573567,1.1199807,0.36736196,1.590998,1.163088,0.37630865
2,1.3217098,0.8667803,0.44386226,1.4857213,1.0753361,0.40962136,1.517274,1.0878453,0.41048318
3,1.2673995,0.8234689,0.4933042,1.4548458,1.0527762,0.45493516,1.4895514,1.0607144,0.43923432
4,1.2425222,0.7957436,0.52071846,1.4373208,1.0403731,0.4798281,1.473498,1.0448472,0.4546769
5,1.2223922,0.7766161,0.5412309,1.4308611,1.0331366,0.49888664,1.463581,1.0356873,0.4680555
6,1.2080312,0.7617453,0.5572362,1.4217716,1.0238847,0.5164514,1.4573694,1.027672,0.4743319
7,1.1964948,0.7496952,0.56762815,1.4130534,1.0144168,0.5304738,1.4522665,1.0229989,0.48023504
8,1.1871095,0.73819554,0.5770671,1.408546,1.0105679,0.5365223,1.4458328,1.0196861,0.4844635
9,1.177786,0.72978264,0.5860694,1.4003816,1.0076184,0.54367805,1.4441619,1.0184629,0.48578748
10,1.1699413,0.7170396,0.5927464,1.4004402,1.0053929,0.5509185,1.4421833,1.0157716,0.48932436
11,1.1638027,0.7096088,0.59838355,1.3936286,1.0021654,0.5508191,1.4383022,1.0147438,0.4901534
12,1.1525999,0.6985826,0.6093702,1.3900802,0.99764085,0.5580676,1.4363942,1.0088124,0.49384862
13,1.1429746,0.68771255,0.6174102,1.3833547,0.99290776,0.5609691,1.4346923,1.0111194,0.4926966
14,1.1367842,0.68136615,0.6230336,1.3816485,0.99094576,0.5647457,1.4348751,1.0085286,0.49298072
15,1.1283511,0.6722879,0.62924224,1.3777392,0.9902975,0.56659794,1.4372952,1.0103046,0.49137658
16,1.1233672,0.664261,0.63567024,1.3780338,0.98983574,0.5710106,1.4329416,1.0073036,0.4958818
17,1.116016,0.65744257,0.6420183,1.3713231,0.98596627,0.56680226,1.4317064,1.0087212,0.4934539
18,1.1102383,0.65094864,0.64577806,1.3697149,0.9832096,0.57397276,1.4319867,1.0075994,0.49433926
19,1.1041713,0.64345807,0.65074444,1.3681488,0.98023266,0.5821309,1.4319232,1.0045431,0.49635187
20,1.097517,0.6348908,0.655834,1.3707489,0.98463696,0.58107615,1.4353426,1.0069046,0.4954551
