epoch,train_db_s3730_rmse,train_db_s3730_mae,train_db_s3730_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,1.3756118,0.8967925,0.356516,1.4637717,1.0629832,0.47333488,1.467149,1.0353782,0.45514587
2,1.0477313,0.62463075,0.68796,1.4180852,1.0249294,0.5394844,1.4425263,1.0056145,0.48370016
3,0.88784176,0.49216554,0.78843653,1.4307498,1.0529934,0.50372714,1.4475197,1.0100049,0.479549
4,0.77568865,0.41830817,0.84169155,1.4025548,1.0351723,0.52704704,1.4471323,1.0091377,0.47527388
5,0.71172965,0.3614579,0.86915886,1.3947144,1.0392032,0.5128043,1.442393,1.0033221,0.4783255
6,0.6387676,0.32721677,0.8972081,1.3892969,1.0240865,0.52644414,1.4513506,1.0136428,0.47688287
7,0.5649881,0.28768495,0.9200609,1.3725187,1.0195751,0.53223836,1.4473323,1.0074683,0.47376692
8,0.5075985,0.2620539,0.93528336,1.3692067,1.0131735,0.5484999,1.4348905,0.99123377,0.48699278
9,0.5345897,0.25491416,0.9279094,1.3707259,1.0110434,0.53692365,1.4509968,1.0011504,0.47110742
10,0.5106205,0.24463268,0.9347909,1.3835623,1.028853,0.5193561,1.4580126,1.0115179,0.463071
11,0.42658603,0.22326341,0.9547755,1.362018,1.0185465,0.52909434,1.4449345,1.0043998,0.47279376
12,0.4085342,0.20616011,0.95882416,1.3709745,1.0164965,0.53328556,1.4560457,1.0076077,0.46300435
13,0.37857068,0.19475368,0.96461785,1.3575217,0.99758387,0.5498058,1.451551,1.0073632,0.47016874
14,0.32496223,0.17996229,0.9741453,1.3602768,1.0071396,0.54286045,1.4463633,1.0001982,0.4747751
15,0.31882557,0.17594369,0.97497576,1.3590361,1.0060892,0.5479124,1.4485998,1.0022935,0.47389176
16,0.29686728,0.16512753,0.97849524,1.3647448,1.0100218,0.5387532,1.4548846,1.0066184,0.4656873
17,0.29713792,0.1667466,0.9782407,1.3623528,1.0013291,0.54238844,1.4511511,1.0029334,0.46807212
18,0.27353063,0.15529443,0.98157877,1.3569,0.9958419,0.5457268,1.4459767,1.0017204,0.47446057
19,0.2694024,0.15475032,0.9823375,1.3577443,0.99844724,0.5493475,1.4622989,1.012987,0.45831874
20,0.24092987,0.1446458,0.9856711,1.3654948,1.0015645,0.5444709,1.4598321,1.0128459,0.46352845
