epoch,train_db_s3730_rmse,train_db_s3730_mae,train_db_s3730_corr,val_db_ssym_rmse,val_db_ssym_mae,val_db_ssym_corr,test_db_s669_rmse,test_db_s669_mae,test_db_s669_corr
1,1.5064862,1.0402999,0.18691991,1.4461454,1.0460862,0.4933592,1.5223196,1.0925837,0.3914544
2,1.2555001,0.84113103,0.49218377,1.3518898,0.9777574,0.57460773,1.4775728,1.0455748,0.45422998
3,1.1722578,0.76763016,0.57315266,1.3025035,0.9513305,0.5978962,1.4565426,1.0142694,0.47408554
4,1.1320599,0.72706836,0.60946804,1.3490969,0.97416335,0.6064329,1.4561392,1.0300423,0.48985162
5,1.0723928,0.68134785,0.66149473,1.2660543,0.9217003,0.62302893,1.4488368,1.0061265,0.48953184
6,1.0266335,0.64127535,0.6970857,1.3022118,0.9427883,0.6216956,1.4301282,0.9957453,0.5043278
7,0.98256314,0.6105651,0.72478986,1.270779,0.9326249,0.62671787,1.4391727,1.0038221,0.4976777
8,0.9568376,0.59637994,0.7425135,1.2599158,0.9118132,0.617538,1.4296691,0.98083216,0.5030326
9,0.91747534,0.56436837,0.7665042,1.2638224,0.91704625,0.6352093,1.4350696,0.9932752,0.4998045
10,0.87972134,0.5373483,0.7881262,1.2853417,0.93195176,0.6292466,1.4411148,1.0019401,0.4995026
11,0.85397255,0.5229279,0.80172044,1.2434016,0.90921336,0.63651097,1.4282377,0.981171,0.50806516
12,0.807865,0.49293324,0.8257492,1.2868775,0.9389977,0.6330769,1.4205503,0.98443675,0.51584464
13,0.786088,0.47526872,0.83596116,1.2293254,0.897091,0.6499848,1.418541,0.9804634,0.51591504
14,0.77168876,0.46231684,0.84304833,1.2291925,0.90425414,0.6514579,1.4190823,0.9796373,0.51563805
15,0.7470857,0.45151314,0.8531567,1.2533323,0.9172261,0.6449062,1.4158323,0.98373014,0.5171346
16,0.722436,0.43750238,0.8637975,1.249165,0.91528434,0.6534271,1.4283322,0.9938129,0.51235694
17,0.7014431,0.4260027,0.87232184,1.238701,0.9062279,0.64652175,1.4189211,0.9851337,0.51564807
18,0.6845792,0.41604075,0.8791392,1.2388935,0.8991638,0.63654065,1.4347849,0.9937067,0.5039493
19,0.65991384,0.39490357,0.8892797,1.2527053,0.91979265,0.6525008,1.4354632,1.0110503,0.50369626
